Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos
56,633,59 (1),Jun 4,PIT,@,ATL,L4-5,CG(10),4,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.288,.349,.456,.805,3,1.30,0.231,1.54,0.17%,1.80,CF
57,634,60,Jun 5,PIT,@,ATL,L0-5,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.284,.347,.450,.797,3,.45,-0.016,.55,-0.01%,-0.33,CF
58,635,61,Jun 7,PIT,@,CHC,W2-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.279,.341,.441,.783,3,.99,-0.099,1.22,-0.07%,-0.82,CF
59,636,62,Jun 8,PIT,@,CHC,W6-2,CG,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.280,.344,.440,.784,3,.36,-0.024,.44,-0.02%,0.00,CF
60,637,63,Jun 9,PIT,@,CHC,L1-4,CG,4,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,.285,.350,.447,.798,3,.63,0.071,.78,0.05%,0.49,CF
61,638,64,Jun 11,PIT,,SFG,W8-2,CG,5,3,2,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,.290,.359,.455,.814,3,.53,0.029,.66,0.02%,1.25,CF
62,639,65,Jun 12,PIT,,SFG,W12-8,CG,5,5,2,3,1,0,0,3,0,0,1,0,0,0,0,0,0,0,.297,.364,.462,.826,3,1.27,0.157,1.55,0.12%,1.55,CF
63,640,66,Jun 13,PIT,,SFG,L0-10,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.296,.362,.463,.824,3,.22,-0.020,.27,-0.02%,-0.10,CF
64,641,67,Jun 14,PIT,,LAD,W3-0,CG,4,4,1,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.299,.364,.467,.831,3,1.02,0.140,1.22,0.10%,1.55,CF
65,642,68,Jun 15,PIT,,LAD,L3-5,CG(11),6,4,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.298,.367,.464,.831,3,2.23,-0.036,2.70,-0.03%,-0.29,CF
66,643,69,Jun 16,PIT,,LAD,W6-3,CG,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.294,.362,.456,.818,3,1.02,-0.153,1.23,-0.11%,-1.67,CF
67,644,70,Jun 17,PIT,@,CIN,L1-4,CG,4,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.298,.367,.459,.826,3,1.37,0.061,2.06,0.06%,0.39,CF
68,645,71,Jun 18,PIT,@,CIN,W4-0,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.293,.362,.452,.814,3,.58,-0.054,.82,-0.05%,-1.05,CF
69,646,72,Jun 19,PIT,@,CIN,L1-2,CG(13),6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.287,.355,.442,.796,3,1.60,-0.230,2.40,-0.21%,-1.47,CF
70,647,73,Jun 20,PIT,@,CIN,W5-3,CG,5,3,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,.287,.359,.440,.799,3,1.25,0.110,1.85,0.10%,0.77,CF
71,648,74,Jun 21,PIT,@,LAA,W5-2,CG,5,5,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.289,.359,.447,.806,3,.34,0.042,.40,0.03%,0.80,CF
72,649,75,Jun 22,PIT,@,LAA,W6-1,CG,5,5,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,.288,.357,.453,.810,3,.48,-0.013,.56,-0.01%,-0.49,CF
73,650,76,Jun 23,PIT,@,LAA,W10-9,9-GF(10),2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.289,.358,.454,.811,8,1.15,-0.042,1.38,-0.03%,0.66,PH CF
74,651,77,Jun 25,PIT,@,SEA,W9-4,CG,5,5,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.291,.358,.456,.815,3,.16,-0.011,.19,-0.01%,-0.16,CF
75,652,78,Jun 26,PIT,@,SEA,W4-2,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.287,.354,.450,.804,3,1.08,-0.108,1.22,-0.07%,-0.78,CF
76,653,79,Jun 28,PIT,,MIL,W10-3,CG,5,5,1,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,.293,.358,.466,.824,3,.38,0.043,.41,0.03%,2.16,CF
77,654,80,Jun 29,PIT,,MIL,W2-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,.293,.358,.465,.822,3,1.14,-0.061,1.20,-0.04%,-0.61,CF
78,655,81,Jun 30,PIT,,MIL,W2-1,CG(14),6,4,0,1,0,0,0,1,2,1,1,0,0,0,0,0,0,0,.292,.360,.462,.822,3,2.64,0.230,2.75,0.14%,0.91,CF
79,656,82,Jul 2,PIT,,PHI,L1-3,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.293,.362,.461,.822,3,1.79,-0.100,1.83,-0.06%,-0.59,CF
80,657,83,Jul 3,PIT,,PHI,W6-5,CG,5,3,2,3,0,1,0,0,2,0,0,0,0,0,0,0,1,1,.300,.371,.472,.843,3,.84,0.212,.89,0.14%,1.83,CF
81,658,84,Jul 4,PIT,,PHI,L4-6,CG,4,4,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,.299,.370,.469,.839,3,1.90,0.002,1.99,0.00%,0.52,CF
82,659,85,Jul 5,PIT,@,CHC,W6-2,CG,5,4,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,.298,.370,.467,.837,3,.90,0.125,1.00,0.08%,0.96,CF
83,660,86,Jul 6,PIT,@,CHC,L1-4,CG,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.301,.372,.467,.839,3,.78,-0.038,.76,-0.02%,-0.20,CF
84,661,87,Jul 7,PIT,@,CHC,L3-4,CG(11),5,4,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,.303,.375,.471,.845,3,1.58,-0.002,1.65,0.00%,0.53,CF
85,662,88,Jul 8,PIT,,OAK,L1-2,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.303,.373,.468,.841,3,1.95,-0.180,2.10,-0.12%,-1.03,CF
86,663,89,Jul 9,PIT,,OAK,L1-2,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.300,.372,.464,.836,3,1.94,-0.095,2.20,-0.07%,-0.14,CF
87,664,90,Jul 10,PIT,,OAK,W5-0,CG,4,3,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.303,.376,.465,.841,3,.49,0.089,.55,0.06%,0.79,CF
88,665,91,Jul 12,PIT,,NYM,W3-2,CG(11),5,3,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,.301,.376,.461,.838,3,2.53,0.079,2.92,0.06%,0.20,CF
89,666,92,Jul 13,PIT,,NYM,W4-2,CG,4,4,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.303,.378,.471,.848,3,1.53,0.404,1.67,0.26%,1.77,CF
90,667,93,Jul 14,PIT,,NYM,L2-4,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.302,.376,.471,.847,3,1.19,0.058,1.28,0.04%,0.52,CF
91,668,94,Jul 19,PIT,@,CIN,L3-5,CG,4,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,.303,.378,.478,.856,3,1.39,0.002,1.87,0.00%,0.74,CF
92,669,95,Jul 20,PIT,@,CIN,L4-5,CG,5,5,1,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,.310,.383,.494,.877,3,1.95,0.274,2.69,0.23%,1.38,CF
