Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
108,108,131,Aug 26,PIT,@,PHI,L5-6,GS-9,5,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.329,.401,.521,.922,2,1.26,-0.008,.00,0.00%,0.05,,,LF
109,109,132,Aug 27,PIT,@,PHI,W5-4,CG,5,5,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.332,.404,.530,.934,2,.87,0.077,.00,0.00%,1.00,,,LF
110,110,133,Aug 28,PIT,@,PHI,L3-12,GS-5,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.330,.401,.526,.927,2,.74,-0.060,.00,0.00%,-0.53,,,LF
111,111,134,Aug 29,PIT,@,COL,W11-8,CG,5,5,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.328,.399,.522,.920,2,.28,0.016,.00,0.00%,-1.32,,,LF
112,112,135,Aug 30,PIT,@,COL,W9-4,CG,5,5,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,.329,.399,.525,.924,2,.51,0.091,.00,0.00%,0.67,,,LF
113,113,136,Aug 31,PIT,@,COL,W11-4,CG,6,6,1,3,2,0,0,3,0,0,2,0,0,0,0,0,0,0,.332,.400,.530,.930,2,.55,0.071,.00,0.00%,1.36,,,LF
114,114,137,Sep 1,PIT,@,COL,W6-2,CG,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.335,.402,.531,.933,2,.88,0.080,.00,0.00%,1.08,,,LF
115,115,138,Sep 3,PIT,,MIA,L4-5,CG(10),5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.331,.398,.524,.922,2,1.97,-0.336,.00,0.00%,-1.78,,,LF
116,116,139,Sep 4,PIT,,MIA,W6-5,CG,5,5,1,2,1,0,0,2,0,0,1,0,0,0,1,0,0,0,.332,.398,.525,.923,2,1.94,0.334,.00,0.00%,1.65,,,CF
117,117,140,Sep 5,PIT,,MIA,L7-10,CG,5,5,2,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,.333,.398,.538,.936,2,1.08,0.077,.00,0.00%,1.54,,,CF
